2024-12-28 15:36:25 | INFO | Запрос к настройкам приложения
2024-12-28 15:36:48 | INFO | Запрос к биографии Наполеона
2024-12-28 15:36:58 | INFO | Запрос к счетчику посещений
2024-12-28 15:36:58 | DEBUG | Текущее количество посещений: 1
2024-12-28 15:37:17 | INFO | Запрос на сброс счетчика посещений
2024-12-28 15:37:17 | DEBUG | Счетчик посещений сброшен
2024-12-28 15:37:27 | INFO | Запрос к счетчику посещений
2024-12-28 15:37:27 | DEBUG | Текущее количество посещений: 1
2024-12-28 15:39:02 | INFO | Запрос к настройкам приложения
2024-12-28 15:39:40 | INFO | Запрос к журналу логов
2024-12-28 15:39:40 | ERROR | Ошибка чтения лог-файла: logs.txt
2024-12-28 15:41:27 | INFO | Запрос к счетчику посещений
2024-12-28 15:41:27 | DEBUG | Текущее количество посещений: 2
2024-12-28 15:41:30 | INFO | Запрос к счетчику посещений
2024-12-28 15:41:30 | DEBUG | Текущее количество посещений: 3
2024-12-28 15:41:32 | INFO | Запрос к счетчику посещений
2024-12-28 15:41:32 | DEBUG | Текущее количество посещений: 4
2024-12-28 15:41:52 | INFO | Запрос к биографии Наполеона
2024-12-28 15:41:55 | INFO | Запрос к биографии Наполеона
2024-12-28 15:41:57 | INFO | Запрос к биографии Наполеона
2024-12-28 15:41:59 | INFO | Запрос к биографии Наполеона
2024-12-28 15:42:14 | INFO | Запрос к биографии Наполеона
2024-12-28 15:42:22 | INFO | Запрос к счетчику посещений
2024-12-28 15:42:22 | DEBUG | Текущее количество посещений: 5
2024-12-28 15:42:25 | INFO | Запрос к счетчику посещений
2024-12-28 15:42:25 | DEBUG | Текущее количество посещений: 6
2024-12-28 15:42:52 | INFO | Запрос к счетчику посещений
2024-12-28 15:42:52 | DEBUG | Текущее количество посещений: 7
2024-12-28 15:42:59 | INFO | Запрос на сброс счетчика посещений
2024-12-28 15:42:59 | DEBUG | Счетчик посещений сброшен
2024-12-28 15:56:04 | INFO | Запрос к биографии Наполеона
2024-12-28 16:04:07 | INFO | Запрос к биографии Наполеона
2024-12-28 16:04:17 | INFO | Запрос к целям Наполеона
2024-12-28 16:04:21 | INFO | Запрос к биографии Наполеона
2024-12-28 16:04:28 | INFO | Запрос к целям Наполеона
2024-12-28 16:04:33 | INFO | Запрос к биографии Наполеона
2024-12-28 16:04:45 | INFO | Запрос к целям Наполеона
2024-12-28 16:04:51 | INFO | Запрос к биографии Наполеона
2024-12-28 16:09:17 | INFO | Запрос к биографии Наполеона
2024-12-28 16:09:24 | INFO | Запрос к целям Наполеона
2024-12-28 16:09:26 | INFO | Запрос к биографии Наполеона
2024-12-28 16:09:29 | INFO | Запрос к целям Наполеона
2024-12-28 16:09:32 | INFO | Запрос к биографии Наполеона
2024-12-28 16:09:39 | INFO | Запрос к целям Наполеона
2024-12-28 16:12:41 | INFO | Запрос к целям Наполеона
2024-12-28 16:12:43 | INFO | Запрос к биографии Наполеона
2024-12-28 16:12:45 | INFO | Запрос к целям Наполеона
2024-12-28 16:25:09 | INFO | [2024-12-28 16:25:09] Запрос к целям Наполеона: IP=0:0:0:0:0:0:0:1, UserAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2024-12-28 16:25:09 | DEBUG | Путь к файлу целей: C:\Program Files\Apache Software Foundation\Tomcat 11.0\webapps\TeachMeSkills_C32_HW_Lesson_24\napoleon-goals.html
2024-12-28 16:25:09 | DEBUG | Размер файла целей: 3824 байт
2024-12-28 16:25:09 | INFO | Контент целей успешно модифицирован
2024-12-28 16:25:09 | INFO | [2024-12-28 16:25:09] Обработка запроса завершена за 21 мс
2024-12-28 16:25:13 | INFO | [2024-12-28 16:25:13] Запрос к биографии Наполеона: IP=0:0:0:0:0:0:0:1, UserAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2024-12-28 16:25:13 | DEBUG | Путь к файлу биографии: C:\Program Files\Apache Software Foundation\Tomcat 11.0\webapps\TeachMeSkills_C32_HW_Lesson_24\napoleon.html
2024-12-28 16:25:13 | DEBUG | Размер файла биографии: 4607 байт
2024-12-28 16:25:13 | INFO | Контент биографии успешно модифицирован
2024-12-28 16:25:13 | INFO | [2024-12-28 16:25:13] Обработка запроса завершена за 4 мс
2024-12-28 16:25:15 | INFO | [2024-12-28 16:25:15] Запрос к целям Наполеона: IP=0:0:0:0:0:0:0:1, UserAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2024-12-28 16:25:15 | DEBUG | Путь к файлу целей: C:\Program Files\Apache Software Foundation\Tomcat 11.0\webapps\TeachMeSkills_C32_HW_Lesson_24\napoleon-goals.html
2024-12-28 16:25:15 | DEBUG | Размер файла целей: 3824 байт
2024-12-28 16:25:15 | INFO | Контент целей успешно модифицирован
2024-12-28 16:25:15 | INFO | [2024-12-28 16:25:15] Обработка запроса завершена за 2 мс
2024-12-28 16:25:18 | INFO | [2024-12-28 16:25:18] Запрос к биографии Наполеона: IP=0:0:0:0:0:0:0:1, UserAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2024-12-28 16:25:18 | DEBUG | Путь к файлу биографии: C:\Program Files\Apache Software Foundation\Tomcat 11.0\webapps\TeachMeSkills_C32_HW_Lesson_24\napoleon.html
2024-12-28 16:25:18 | DEBUG | Размер файла биографии: 4607 байт
2024-12-28 16:25:18 | INFO | Контент биографии успешно модифицирован
2024-12-28 16:25:18 | INFO | [2024-12-28 16:25:18] Обработка запроса завершена за 1 мс
2024-12-28 16:25:20 | INFO | [2024-12-28 16:25:20] Запрос к целям Наполеона: IP=0:0:0:0:0:0:0:1, UserAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2024-12-28 16:25:20 | DEBUG | Путь к файлу целей: C:\Program Files\Apache Software Foundation\Tomcat 11.0\webapps\TeachMeSkills_C32_HW_Lesson_24\napoleon-goals.html
2024-12-28 16:25:20 | DEBUG | Размер файла целей: 3824 байт
2024-12-28 16:25:20 | INFO | Контент целей успешно модифицирован
2024-12-28 16:25:20 | INFO | [2024-12-28 16:25:20] Обработка запроса завершена за 1 мс
2024-12-28 16:30:33.938 | INFO | http-nio-8080-exec-94 | [2024-12-28 16:30:33] Запрос к биографии Наполеона: IP=0:0:0:0:0:0:0:1, UserAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2024-12-28 16:30:33.941 | DEBUG | http-nio-8080-exec-94 | Путь к файлу биографии: C:\Program Files\Apache Software Foundation\Tomcat 11.0\webapps\TeachMeSkills_C32_HW_Lesson_24\napoleon.html
2024-12-28 16:30:33.946 | DEBUG | http-nio-8080-exec-94 | Размер файла биографии: 4607 байт
2024-12-28 16:30:33.946 | INFO | http-nio-8080-exec-94 | Контент биографии успешно модифицирован
2024-12-28 16:30:33.947 | INFO | http-nio-8080-exec-94 | [2024-12-28 16:30:33] Обработка запроса завершена за 15 мс
2024-12-28 16:30:35.850 | INFO | http-nio-8080-exec-101 | [2024-12-28 16:30:35] Запрос к целям Наполеона: IP=0:0:0:0:0:0:0:1, UserAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2024-12-28 16:30:35.851 | DEBUG | http-nio-8080-exec-101 | Путь к файлу целей: C:\Program Files\Apache Software Foundation\Tomcat 11.0\webapps\TeachMeSkills_C32_HW_Lesson_24\napoleon-goals.html
2024-12-28 16:30:35.853 | DEBUG | http-nio-8080-exec-101 | Размер файла целей: 3824 байт
2024-12-28 16:30:35.854 | INFO | http-nio-8080-exec-101 | Контент целей успешно модифицирован
2024-12-28 16:30:35.855 | INFO | http-nio-8080-exec-101 | [2024-12-28 16:30:35] Обработка запроса завершена за 4 мс
2024-12-28 16:30:39.073 | INFO | http-nio-8080-exec-93 | [2024-12-28 16:30:39] Запрос к биографии Наполеона: IP=0:0:0:0:0:0:0:1, UserAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2024-12-28 16:30:39.074 | DEBUG | http-nio-8080-exec-93 | Путь к файлу биографии: C:\Program Files\Apache Software Foundation\Tomcat 11.0\webapps\TeachMeSkills_C32_HW_Lesson_24\napoleon.html
2024-12-28 16:30:39.075 | DEBUG | http-nio-8080-exec-93 | Размер файла биографии: 4607 байт
2024-12-28 16:30:39.076 | INFO | http-nio-8080-exec-93 | Контент биографии успешно модифицирован
2024-12-28 16:30:39.077 | INFO | http-nio-8080-exec-93 | [2024-12-28 16:30:39] Обработка запроса завершена за 3 мс
2024-12-28 16:30:49.088 | INFO | http-nio-8080-exec-98 | Запрос к настройкам приложения
2024-12-28 16:31:01.863 | INFO | http-nio-8080-exec-100 | Запрос к счетчику посещений
2024-12-28 16:31:01.870 | DEBUG | http-nio-8080-exec-100 | Текущее количество посещений: 1
2024-12-28 16:33:14.399 | INFO | http-nio-8080-exec-106 | [2024-12-28 16:33:14] Запрос к биографии Наполеона: IP=0:0:0:0:0:0:0:1, UserAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2024-12-28 16:33:14.400 | DEBUG | http-nio-8080-exec-106 | Путь к файлу биографии: C:\Program Files\Apache Software Foundation\Tomcat 11.0\webapps\TeachMeSkills_C32_HW_Lesson_24\napoleon.html
2024-12-28 16:33:14.403 | DEBUG | http-nio-8080-exec-106 | Размер файла биографии: 4607 байт
2024-12-28 16:33:14.403 | INFO | http-nio-8080-exec-106 | Контент биографии успешно модифицирован
2024-12-28 16:33:14.404 | INFO | http-nio-8080-exec-106 | [2024-12-28 16:33:14] Обработка запроса завершена за 3 мс
2024-12-28 16:33:21.831 | INFO | http-nio-8080-exec-107 | Запрос к журналу логов
2024-12-28 16:33:21.831 | ERROR | http-nio-8080-exec-107 | Ошибка чтения лог-файла: logs.txt
2024-12-28 16:37:10.612 | INFO | http-nio-8080-exec-110 | [2024-12-28 16:37:10] Запрос к целям Наполеона: IP=0:0:0:0:0:0:0:1, UserAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2024-12-28 16:37:10.614 | DEBUG | http-nio-8080-exec-110 | Путь к файлу целей: C:\Program Files\Apache Software Foundation\Tomcat 11.0\webapps\TeachMeSkills_C32_HW_Lesson_24\napoleon-goals.html
2024-12-28 16:37:10.619 | DEBUG | http-nio-8080-exec-110 | Размер файла целей: 3824 байт
2024-12-28 16:37:10.619 | INFO | http-nio-8080-exec-110 | Контент целей успешно модифицирован
2024-12-28 16:37:10.620 | INFO | http-nio-8080-exec-110 | [2024-12-28 16:37:10] Обработка запроса завершена за 11 мс
2024-12-28 16:37:20.697 | INFO | http-nio-8080-exec-109 | Запрос к журналу логов
2024-12-28 16:37:20.727 | INFO | http-nio-8080-exec-109 | Журнал логов успешно отображен
2024-12-28 16:41:00.832 | INFO | http-nio-8080-exec-113 | Запрос к журналу логов
2024-12-28 16:41:00.853 | INFO | http-nio-8080-exec-113 | Журнал логов успешно отображен
2024-12-28 16:43:01.268 | INFO | http-nio-8080-exec-116 | Запрос к журналу логов
2024-12-28 16:43:01.286 | INFO | http-nio-8080-exec-116 | Журнал логов успешно отображен
2024-12-28 16:43:12.468 | INFO | http-nio-8080-exec-117 | [2024-12-28 16:43:12] Запрос к биографии Наполеона: IP=0:0:0:0:0:0:0:1, UserAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2024-12-28 16:43:12.469 | DEBUG | http-nio-8080-exec-117 | Путь к файлу биографии: C:\Program Files\Apache Software Foundation\Tomcat 11.0\webapps\TeachMeSkills_C32_HW_Lesson_24\napoleon.html
2024-12-28 16:43:12.470 | DEBUG | http-nio-8080-exec-117 | Размер файла биографии: 4607 байт
2024-12-28 16:43:12.471 | INFO | http-nio-8080-exec-117 | Контент биографии успешно модифицирован
2024-12-28 16:43:12.471 | INFO | http-nio-8080-exec-117 | [2024-12-28 16:43:12] Обработка запроса завершена за 3 мс
